time,Tair,RH,zz
09/04/2023 14:40:14,8.06,62.95,1.44
09/04/2023 15:40:14,8.4,60.2,1.14
09/04/2023 16:40:14,8.05,59.95,0.76
09/04/2023 17:40:14,7.79,60.47,0.63
09/04/2023 18:40:14,7.75,62.75,1.1
09/04/2023 19:40:14,4.5,70.12,-0.47
09/04/2023 20:40:14,3.57,74.98,-0.44
09/04/2023 21:40:14,3.14,77.41,-0.43
09/04/2023 22:40:14,2.86,77.81,-0.63
09/04/2023 23:40:14,2.76,78.45,-0.62
09/05/2023 00:40:14,2.41,78.29,-0.99
09/05/2023 01:40:14,2.39,78.08,-1.04
09/05/2023 02:40:14,1.76,81.11,-1.13
09/05/2023 03:40:14,1.99,82.15,-0.73
09/05/2023 04:40:14,1.47,85.67,-0.67
09/05/2023 05:40:14,1.65,83.57,-0.83
09/05/2023 06:40:14,0.4,86.09,-1.66
09/05/2023 07:40:14,0.4,82.77,-2.19
09/05/2023 08:40:14,3.41,77.18,-0.21
09/05/2023 09:40:14,5.8,71.15,0.98
09/05/2023 10:40:14,5.26,72.1,0.65
09/05/2023 11:40:14,6.3,69.95,1.23
09/05/2023 12:40:14,5.57,69.38,0.41
09/05/2023 13:40:14,5.53,68.61,0.22
09/05/2023 14:40:14,7.63,62.2,0.87
09/05/2023 15:40:14,9.66,54.34,0.9
09/05/2023 16:40:14,8.83,57.52,0.92
09/05/2023 17:40:14,9.61,53.75,0.71
09/05/2023 18:40:14,8.15,58.24,0.45
09/05/2023 19:40:14,5.19,68.19,-0.19
09/05/2023 20:40:14,4.89,70.07,-0.1
09/05/2023 21:40:14,3.65,76.15,-0.16
09/05/2023 22:40:14,4.01,75.17,0.01
09/05/2023 23:40:14,3.84,77.11,0.2
09/06/2023 00:40:14,3.62,78.14,0.18
09/06/2023 01:40:14,3.27,80.66,0.27
09/06/2023 02:40:14,2.49,83.62,0
09/06/2023 03:40:14,2.8,81.6,-0.04
09/06/2023 04:40:14,2.51,82.73,-0.13
09/06/2023 05:40:14,2.11,83.22,-0.44
09/06/2023 06:40:14,2.75,84.03,0.32
09/06/2023 07:40:14,2.47,85.44,0.27
09/06/2023 08:40:14,2.77,84.63,0.44
09/06/2023 09:40:14,5.06,78.2,1.59
09/06/2023 10:40:14,4.87,76.93,1.17
09/06/2023 11:40:14,6.61,70.35,1.61
09/06/2023 12:40:14,6.18,68.82,0.89
09/06/2023 13:40:14,6.96,66.16,1.09
09/06/2023 14:40:14,8.89,59.63,1.47
09/06/2023 15:40:14,10.08,55.35,1.54
09/06/2023 16:40:14,7.72,62.77,1.08
09/06/2023 17:40:14,5.33,68.95,0.1
09/06/2023 18:40:14,9,58.47,1.3
09/06/2023 19:40:14,4.74,72.47,0.22
09/06/2023 20:40:14,3.49,76.69,-0.21
09/06/2023 21:40:14,2.95,80.02,-0.15
09/06/2023 22:40:14,3.11,80.75,0.13
09/06/2023 23:40:14,2.78,81.2,-0.12
09/07/2023 00:40:14,2.2,83.38,-0.32
09/07/2023 01:40:14,1.88,85.39,-0.31
09/07/2023 02:40:14,2.4,86.06,0.31
09/07/2023 03:40:14,2.22,84.83,-0.07
09/07/2023 04:40:14,2.19,86.16,0.12
09/07/2023 05:40:14,1.91,87.51,0.06
09/07/2023 06:40:14,1.98,88.1,0.22
09/07/2023 07:40:14,1.8,87.09,-0.11
09/07/2023 08:40:14,4.41,78.42,0.99
09/07/2023 09:40:14,6.48,71.92,1.79
09/07/2023 10:40:14,7.2,67.27,1.55
09/07/2023 11:40:14,5.42,73.01,0.98
09/07/2023 12:40:14,7.31,66.56,1.51
09/07/2023 13:40:14,6.61,66.47,0.82
09/07/2023 14:40:14,6.66,66.12,0.79
09/07/2023 15:40:14,7.23,63.78,0.84
09/07/2023 16:40:14,7.64,61.95,0.82
09/07/2023 17:40:14,8.74,59.25,1.24
09/07/2023 18:40:14,8.12,61.27,1.13
09/07/2023 19:40:14,4.96,72.39,0.42
09/07/2023 20:40:14,4.44,78,0.94
09/07/2023 21:40:14,3.47,80.04,0.35
09/07/2023 22:40:14,4.2,78.67,0.83
09/07/2023 23:40:14,2.72,84.36,0.35
09/08/2023 00:40:14,3.5,82.82,0.86
09/08/2023 01:40:14,2.27,90.1,0.81
09/08/2023 02:40:14,2.06,92.07,0.91
09/08/2023 03:40:14,2.41,89.46,0.85
09/08/2023 04:40:14,1.9,92.67,0.84
09/08/2023 05:40:14,2.18,93.05,1.17
09/08/2023 06:40:14,1.81,91.92,0.64
09/08/2023 07:40:14,2.08,91.67,0.87
09/08/2023 08:40:14,2.97,87.09,1.03
09/08/2023 09:40:14,5.04,79.67,1.82
09/08/2023 10:40:14,6.9,70.4,1.9
09/08/2023 11:40:14,6.14,71.86,1.45
09/08/2023 12:40:14,7.3,69.66,2.13
09/08/2023 13:40:14,6.41,69.71,1.28
09/08/2023 14:40:14,7.18,66.51,1.37
09/08/2023 15:40:14,8.96,59.97,1.62
09/08/2023 16:40:14,9.32,58.07,1.51
09/08/2023 17:40:14,8.81,59.95,1.47
09/08/2023 18:40:14,8.4,60.51,1.21
09/08/2023 19:40:14,4.8,72.65,0.31
09/08/2023 20:40:14,3.91,76.84,0.22
09/08/2023 21:40:14,3.34,79.69,0.17
09/08/2023 22:40:14,3.62,79.08,0.33
09/08/2023 23:40:14,3.4,79.78,0.24
09/09/2023 00:40:14,3.27,79.38,0.05
09/09/2023 01:40:14,3.24,81.64,0.41
09/09/2023 02:40:14,3.01,82.13,0.26
09/09/2023 03:40:14,1.85,87.52,0
09/09/2023 04:40:14,3.01,83.54,0.5
09/09/2023 05:40:14,2.76,84.05,0.34
09/09/2023 06:40:14,2.33,86.82,0.36
09/09/2023 07:40:14,3.12,82.75,0.48
09/09/2023 08:40:14,7.09,68.73,1.74
09/09/2023 09:40:14,5.71,73.43,1.34
09/09/2023 10:40:14,5.79,72,1.14
09/09/2023 11:40:14,6.2,69.05,0.96
09/09/2023 12:40:14,8.55,61,1.46
09/09/2023 13:40:14,7.99,63.11,1.41
09/09/2023 14:40:14,7.33,64.41,1.07
09/09/2023 15:40:14,9.13,59.78,1.73
09/09/2023 16:40:14,9.58,58.72,1.9
09/09/2023 17:40:14,8.93,60.07,1.61
09/09/2023 18:40:14,8.28,62.12,1.46
09/09/2023 19:40:14,5.01,73.17,0.61
09/09/2023 20:40:14,4.57,75.13,0.55
09/09/2023 21:40:14,4.1,77.29,0.49
09/09/2023 22:40:14,3.71,80.49,0.67
09/09/2023 23:40:14,4,79.93,0.85
09/10/2023 00:40:14,3.87,79.44,0.64
09/10/2023 01:40:14,3.74,81.84,0.93
09/10/2023 02:40:14,2.53,86.03,0.43
09/10/2023 03:40:14,3.7,84.87,1.4
09/10/2023 04:40:14,3.3,86.15,1.21
09/10/2023 05:40:14,3.23,86.84,1.25
09/10/2023 06:40:14,3.14,86.48,1.11
09/10/2023 07:40:14,2.77,87.41,0.89
09/10/2023 08:40:14,3.71,83.59,1.19
09/10/2023 09:40:14,6.21,76.27,2.35
09/10/2023 10:40:14,7.1,70.12,2.03
09/10/2023 11:40:14,5.47,75.31,1.45
09/10/2023 12:40:14,5.46,78.26,1.98
09/10/2023 13:40:14,6.54,72.3,1.93
09/10/2023 14:40:14,6.31,70.35,1.32
09/10/2023 15:40:14,8.46,67.14,2.72
09/10/2023 16:40:14,8.82,65.53,2.73
09/10/2023 17:40:14,6.94,69.48,1.75
09/10/2023 18:40:14,5.77,73.15,1.34
09/10/2023 19:40:14,4.72,78.51,1.31
09/10/2023 20:40:14,4.45,78.9,1.11
09/10/2023 21:40:14,3.59,84.93,1.3
09/10/2023 22:40:14,3.86,85.54,1.66
09/10/2023 23:40:14,3.08,87.08,1.14
09/11/2023 00:40:14,3.58,86.68,1.57
09/11/2023 01:40:14,3.48,88.3,1.73
09/11/2023 02:40:14,2.96,85.76,0.81
09/11/2023 03:40:14,2.76,89.76,1.24
09/11/2023 04:40:14,2.94,88.95,1.29
